relationship_no,from_table,from_column,to_table,to_column,cardinality,cross_filter_direction,active,note
1,dim_hero_role,hero_id,dim_hero,hero_id,many-to-one,Both,active,
2,fact_hero_matchups,radiant_hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
3,fact_hero_matchups_hero,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
4,fact_hero_side,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
5,fact_match_player_damage,account_id,dim_player,account_id,many-to-one,Many->1,active,
6,fact_match_player_damage,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
7,fact_match_player_damage_taken,account_id,dim_player,account_id,many-to-one,Many->1,active,
8,fact_match_player_damage_taken,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
9,fact_match_player_item_purchases,account_id,dim_player,account_id,many-to-one,Many->1,active,
10,fact_match_player_item_purchases,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
11,fact_match_player_minute,account_id,dim_player,account_id,many-to-one,Many->1,active,
12,fact_match_player_minute,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
13,fact_match_player_runes,account_id,dim_player,account_id,many-to-one,Many->1,active,
14,fact_match_player_runes,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
15,fact_match_player_runes,rune_key,dim_rune,rune_key,many-to-one,Many->1,active,
16,fact_match_player_skills,account_id,dim_player,account_id,many-to-one,Many->1,active,
17,fact_match_player_skills,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
18,fact_match_players,account_id,dim_player,account_id,many-to-one,Many->1,active,
19,fact_match_players,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
20,fact_match_players,item_0,dim_item,item_id,many-to-one,Many->1,active,
21,fact_matches,game_mode_id,dim_game_mode,game_mode_id,many-to-one,Many->1,active,
22,fact_matches,leagueid,dim_league,leagueid,many-to-one,Many->1,active,
23,fact_matches,lobby_type_id,dim_lobby_type,lobby_type_id,many-to-one,Many->1,active,
24,fact_matches,match_id,fact_hero_matchups,match_id,one-to-many,1->Many,active,
25,fact_matches,match_id,fact_hero_matchups_hero,match_id,one-to-many,1->Many,active,
26,fact_matches,match_id,fact_match_player_damage,match_id,one-to-many,1->Many,active,
27,fact_matches,match_id,fact_match_player_damage_taken,match_id,one-to-many,1->Many,active,
28,fact_matches,match_id,fact_match_player_item_purchases,match_id,one-to-many,1->Many,active,
29,fact_matches,match_id,fact_match_player_minute,match_id,one-to-many,1->Many,active,
30,fact_matches,match_id,fact_match_player_runes,match_id,one-to-many,1->Many,active,
31,fact_matches,match_id,fact_match_player_skills,match_id,one-to-many,1->Many,active,
32,fact_matches,match_id,fact_match_players,match_id,many-to-one,Both,active,
33,fact_matches,match_id,fact_match_team_minute,match_id,one-to-many,1->Many,active,
34,fact_matches,match_id,fact_picks_bans,match_id,one-to-many,1->Many,active,
35,fact_matches,match_id,fact_team_h2h,match_id,one-to-many,1->Many,active,
36,fact_matches,match_id,fact_team_matches,match_id,many-to-one,Both,active,
37,fact_matches,match_id,fact_teamfight_ability_uses,match_id,one-to-many,1->Many,active,
38,fact_matches,match_id,fact_teamfight_players,match_id,one-to-many,1->Many,active,
39,fact_matches,match_id,fact_teamfights,match_id,one-to-many,1->Many,active,
40,fact_matches,patch,dim_patch,patch_id,many-to-one,Many->1,active,
41,fact_matches,region_id,dim_region,region_id,many-to-one,Many->1,active,
42,fact_matches,start_date,dim_date,date,many-to-one,Many->1,active,
43,fact_picks_bans,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
44,fact_team_h2h,team_a_id,dim_team,team_id,many-to-one,Many->1,active,
45,fact_team_matches,team_id,dim_team,team_id,many-to-one,Many->1,active,
46,fact_teamfight_ability_uses,account_id,dim_player,account_id,many-to-one,Many->1,active,
47,fact_teamfight_ability_uses,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
48,fact_teamfight_players,account_id,dim_player,account_id,many-to-one,Many->1,active,
49,fact_teamfight_players,hero_id,dim_hero,hero_id,many-to-one,Many->1,active,
50,fact_hero_matchups,dire_hero_id,dim_hero,hero_id,many-to-one,Many->1,inactive (USERELATIONSHIP),second link to dim_hero - must be inactive
51,fact_hero_matchups_hero,opponent_id,dim_hero,hero_id,many-to-one,Many->1,inactive (USERELATIONSHIP),second link to dim_hero - must be inactive
52,fact_team_h2h,team_b_id,dim_team,team_id,many-to-one,Many->1,inactive (USERELATIONSHIP),second link to dim_team - must be inactive
