"layer","table_name","column_name","data_type","is_primary_key","to_update"
"bronze","constants","resource","text","yes",""
"bronze","constants","payload","jsonb","no",""
"bronze","constants","loaded_at","timestamp with time zone","no",""
"bronze","hero_stats","id","integer","yes",""
"bronze","hero_stats","payload","jsonb","no",""
"bronze","hero_stats","loaded_at","timestamp with time zone","no",""
"bronze","leagues","leagueid","integer","yes",""
"bronze","leagues","payload","jsonb","no",""
"bronze","leagues","loaded_at","timestamp with time zone","no",""
"bronze","matches","match_id","bigint","yes",""
"bronze","matches","payload","jsonb","no",""
"bronze","matches","loaded_at","timestamp with time zone","no",""
"bronze","players","account_id","integer","yes",""
"bronze","players","payload","jsonb","no",""
"bronze","players","loaded_at","timestamp with time zone","no",""
"bronze","teams","team_id","integer","yes",""
"bronze","teams","payload","jsonb","no",""
"bronze","teams","loaded_at","timestamp with time zone","no",""
"gold","dim_date","date","date","no",""
"gold","dim_date","day_of_month","integer","no",""
"gold","dim_date","day_of_week","integer","no",""
"gold","dim_date","day_of_week_name","text","no",""
"gold","dim_date","day_of_week_short_name","text","no",""
"gold","dim_date","iso_day_of_week","integer","no",""
"gold","dim_date","is_weekend","boolean","no",""
"gold","dim_date","day_of_year","integer","no",""
"gold","dim_date","week_of_year","integer","no",""
"gold","dim_date","iso_week_of_year","integer","no",""
"gold","dim_date","week_start_date","date","no",""
"gold","dim_date","month","integer","no",""
"gold","dim_date","month_name","text","no",""
"gold","dim_date","month_short_name","text","no",""
"gold","dim_date","year_month","text","no",""
"gold","dim_date","quarter","integer","no",""
"gold","dim_date","quarter_name","text","no",""
"gold","dim_date","year_quarter","text","no",""
"gold","dim_date","year","integer","no",""
"gold","dim_date","year_month_name","text","no",""
"gold","dim_date","is_leap_year","boolean","no",""
"gold","dim_game_mode","game_mode_id","text","no",""
"gold","dim_game_mode","game_mode_name","text","no",""
"gold","dim_game_mode","is_balanced","boolean","no",""
"gold","dim_hero","hero_id","text","no",""
"gold","dim_hero","hero_name","text","no",""
"gold","dim_hero","hero_localized_name","text","no",""
"gold","dim_hero","primary_attr","text","no",""
"gold","dim_hero","attack_type","text","no",""
"gold","dim_hero","roles","text","no",""
"gold","dim_hero","img","text","no",""
"gold","dim_hero","pro_pick","integer","no",""
"gold","dim_hero","pro_win","integer","no",""
"gold","dim_hero","pro_ban","integer","no",""
"gold","dim_hero","pub_pick","integer","no",""
"gold","dim_hero","pub_win","integer","no",""
"gold","dim_hero","pub_win_rate","numeric","no",""
